0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.5303766406838785,1.0,0.0,-0.5024451714361923
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.571830994003175,1.0,0.0,0.7868452935884461
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.25482473201211503,0.0,0.0,-0.4888542575852486
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36516706249935255,1.0,0.0,0.4207302360686478
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.36516706249935255,0.0,0.0,-0.4863374216869257
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,-0.47811642890864375
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.6740386286902287,0.0,0.0,0.395813560675251
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.9081361840426954,3.0,1.0,-0.22408312108167944
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.1859367548441742,0.0,2.0,-0.4242561406845337
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0814804580274051,1.0,0.0,-0.04295550208861426
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.7703602297068137,1.0,1.0,-0.312172377522981
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.949590537361992,0.0,0.0,-0.11384570873513637
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.6681525950197601,0.0,0.0,-0.4863374216869257
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6407189711711159,1.0,5.0,-0.01870931177853076
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0814804580274051,0.0,0.0,-0.4902797934380587
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7429266058581694,0.0,0.0,-0.3262666585535892
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.9081361840426954,4.0,1.0,-0.06199888922968463
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,-0.3866707201133388
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.08961515382758917,1.0,0.0,-0.2859972841804228
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.5029485386158568
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.36516706249935255,0.0,0.0,-0.12491978668775715
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2962790853314117,0.0,0.0,-0.3866707201133388
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0125924808594644,0.0,0.0,-0.4867562231804066
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.11704877767623337,0.0,0.0,0.06635974158478332
